Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,2,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Підготовчий процес до скликання першої сесії місцевої ради. Вирішення кадрових питань у новостворених громадах. Козельщинська, Новогалещинська, Семенівська територіальні громади – ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,2,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки. Фінансово-правова організація діяльності новостворених громад. Козельщинська, Новогалещинська, Семенівська  територіальні громади – ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки. Підготовчий процес до скликання першої сесії місцевої ради. Вирішення кадрових питань у новостворених громадах.
Білоцерківська,  Заводська, Ланнівська територіальні громади – ОНЛАЙН
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки. Фінансово-правова організація діяльності новостворених громад. 
Білоцерківська,  Заводська, Ланнівська територіальні громади – ОНЛАЙН
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки. Підготовчий процес до скликання першої сесії місцевої ради. Вирішення кадрових питань у новостворених громадах.
Михайлівська, Машівська територіальні громади – ОНЛАЙН
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки. Фінансово-правова організація діяльності новостворених громад. 
Михайлівська, Машівська територіальні громади – ОНЛАЙН
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,9,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,Перші кроки. Підготовка та проведення першої сесії для Кельменецької громади (онлайн)
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",2,"Перші кроки: особливості складання проєкту місцевого бюджету на 2021 рік (Марківська, Новоайдарська громади). ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,Перші кроки. Підготовка та проведення першої сесії для Кам'янецької та Петровецької громад (онлайн)
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,5,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки для Городищенської та Затурцівської сільських громад. Онлайн

"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,5,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,Перші кроки для Доросинівської та Торчинської селищних громад. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,6,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,Перші кроки: першочергові дії новоутвореної Слобожанської селищної ради. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,7,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",2,"Виконання та формування бюджету  громади (Удачненська громада, ОНЛАЙН)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",2,"Виконання та формування бюджету громади (Мангушська громада, ОНЛАЙН)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,14,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки для новостворених громад: забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка бюджету на 2021 рік, інвентаризація майна, активів і зобов'язань для Нижньосірогозької, Великолепетиської селищних рад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,2,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки для новостворених громад: забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка бюджету на 2021 рік, інвентаризація майна, активів і зобов'язань для Чорнобаївської та Новомиколаївської сільських рад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,3,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки для новостворених громад: забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка бюджету на 2021 рік, інвентаризація майна, активів і зобов'язань для Тавричанської та Новоолександрівської сільських рад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,4,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки для новостворених громад: юридичні, кадрові та бюджетні питання для  Станіславської та Бехтерської сільських рад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,7,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки для новостворених громад: організація та проведення першої сесії місцевої ради, кадрові питання для Новоолександрівської сільської ради та Верхньорогачицької селищних рад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,14,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",2,"Перші кроки для новостворених громад: організація та проведення першої сесії місцевої ради, кадрові питання для Великолепетиської, Нижньосірогозької селищної ради. Онлайн"
