Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,95,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",62,Електронна заява на підключення   до ІС «Вулик». Звітність в ІС «Вулик»
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,81,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",68,Огляд функціоналу ролі інтегратора в ІС «Вулик»
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,55,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",51,"Оновлення ІС «Вулик». Організаційні, технічні та комунікаційні питання"
EGOV4UKRAINE,4 квартал 2020,,Адміністративні послуги,,92,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня",67,Підсумки роботи ІС «Вулик» за 2020 рік
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,92,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",73,Формування органу управління освітою у новостворених громадах областей Західного хабу (Онлайн)
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,108,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",71,"Формування органу управління освітою у новостворених громадах для представників Донецької, Луганської, Полтавської, Сумської, Харківської, Черкаської областей. ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,94,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, заклади освіти",70,Онлайн: Забезпечення якості освіти в умовах змішаного або дистанційного навчання у громадах 6ти областей Західного Хабу
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,90,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",63,"Інформаційна сесія щодо конкурсу проєктів від Програми «U-LEAD з Європою» серед територіальних громад України «Волонтерство в громаді» для громад Вінницької, Житомирської, Київської, Хмельницької, Чернівецької та Чернігівської областей (онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,80,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",58,"Інформаційна сесія конкурсу проєктів серед територіальних громад України «Волонтерство в громаді» від Програми «U-LEAD з Європою» (Донецька, Луганська, Полтавська, Сумська, Черкастка, Харківська області, ОНЛАЙН)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,113,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",55,Перші кроки: забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка проєкту бюджету на 2021 рік для Харківської та Черкаської областей. ОНЛАЙН 
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Охорона здоров'я,,74,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",55,"Реформа децентралізації в секторі охорони здоров'я: виклики та рішення для громад з областей Південного Хабу . Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,140,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",53,Перші кроки. Забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка проєкту бюджету на 2021 рік. ОНЛАЙН.
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,70,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",52,"Інформаційна сесія щодо конкурсу проєктів серед територіальних громад України - Волонтерство в громаді, від Програми U-LEAD з Європою для громад з областей Південного Хабу. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,73,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, заклади освіти",51,"Формування органу управління освітою у новостворених громадах для представників громад Київської, Чернігівської, Житомирської, Вінницької, Хмельницької та Чернівецької областей. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,67,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",50,Інформаційна сесія щодо казначейського обслуговування місцевих бюджетів: функції та повноваження місцевого фінансового органу. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,69,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",50,Формування органу управління освітою у новостворених громадах областей Південного Хабу. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,139,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",49,Перші кроки. Організація та проведення першої сесії ради. ОНЛАЙН.
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,69,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",47,Перші кроки. Створення фінансового органу для ефективного управління бюджетними коштами. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,52,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",47,"Форма забезпечення ведення бухгалтерського обліку у закладах освіти для громад Вінницької, Рівненської, Тернопільської та Хмельницької областей. ОНЛАЙН."
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,61,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",47,Інформаційна сесія щодо конкурсу проєктів серед територіальних громад України «Волонтерство в громаді» від Програми «U-LEAD з Європою» - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління бюджетами і фінансами,60,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",42,Формування проєкту місцевого бюджету на 2021 рік. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,60,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",41,"Підготовка проєктів на грантові конкурси Українського культурного фонду на 2021 рік (для Тернопільських, Волинських та Івано-Франківських  територіальних громад) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,60,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",41,Перші кроки. Створення фінансового органу для ефективного управління бюджетними коштами. ОНЛАЙН.
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,97,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",40,"Перші кроки. Підготовчий процес, організація та проведення першої сесії місцевої ради. ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,81,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, заклади освіти",40,"Підготовка проєктів на грантові конкурси Українського культурного фонду 2021 (для Черкаської, Сумської та Харківської областей). ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,55,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",40,Перші кроки. Порядок здійснення реорганізації рад. ОНЛАЙН.
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,99,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",39,"Організація учбового процесу в умовах адаптивного картантину для Донецької, Луганської,, Полтавської, Сумської, Харківської та Черкаської областей (ОНЛАЙН)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,69,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",38,Перші кроки для новостворених громад: кадрові питання - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,57,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, заклади освіти",38,"Підготовка проєктів на грантові конкурси Українського культурного фонду на 2021 рік (для територіальних громад Закарпатської, Львівської та Рівненської областей) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,74,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",38,"Підготовка проєктів на грантові конкурси Українського культурного фонду 2021 для громад Хмельницької, Київської та Житомирської областей-ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Охорона здоров'я,,46,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, заклади охорони здоров’я",38,"Реформа децентралізації в секторі охорони здоров'я: виклики та рішення для громад Тернопільської, Волинської, Рівненської та Закарпатської областей - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,59,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",37,Перші кроки для новостворених громад: Підготовчий процес до скликання першої сесії. Організація та проведення першої сесії місцевої ради - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,51,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",37,"Робота з інформаційною системою LOGICA (для громад: Лановецька, Почаївська, Вишнівецька, Лопушненська, Зборівська, Скалатська, Теребовлянська, Тернопільська, Великобірківська, Козлівська, Підволочиська, Байковецька, Білецька, Великогаївська, Золотниківська, Іванівська, Купчинецька, Нараївська, Саранчуківська, Скориківська) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,57,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",36,Підготовчий процес до скликання першої сесії. Організація та проведення першої сесії місцевої ради - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,41,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",35,Організація органів управління освітою у новостворених громадах з областей Південного Хабу. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,74,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",35,Перші кроки територіальної громади (для новоутворених громад Львівської області). Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Освіта,,61,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",35,Організація учбового процесу в умовах адаптивного карантину для представників громад Житомирської та Київської областей. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,53,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",35,"Реорганізація органів місцевого самоврядування, які увійшли до складу територіальних громад - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,65,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",35,"Підготовка додатків до проєктних заявок на Український культурний фонд. Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,70,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",34,Перші кроки для новостворених громад: питання фінансового та управлінського характеру - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,38,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",34,"Онлайн: День відкритих дверей у Рівненському регіональному офісі Програми ""U-LEAD з Європою"" "
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління бюджетами і фінансами,37,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",34,"Онлайн: Використання ""Інформаційно-аналітичної системи управління плануванням та виконанням місцевих бюджетів «LOGICA»"" (для громад Рівненської області)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,62,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",34,"Підготовка проєктів на грантові конкурси Українського культурного фонду 2021 для громад Чернівецької, Вінницької та Чернігівської областей (онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,45,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",34,Перші кроки. Забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка проєкту бюджету на 2021 рік для громад Запорізької області. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,50,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",32,"Спецперевірка посадових осіб органів місцевого самоврядування територіальних громад (Кременецька, Великоберезовицька, Заліщицька, Збаразька, Підгороднянська, Козівська, Підгаєцька, Бучацька, Іване-Пустенська, Нагірянська територіальні громади) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,45,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",32,"День відкритих дверей у Івано-Франківському регіональному офісі Програми ""U-LEAD з Європою"" - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,55,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",32,Забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка проєкту бюджету на 2021 рік - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,60,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",32,Онлайн: Перші кроки. Процедура реорганізації органів місцевого самоврядування та порядок проведення інвентаризації (для представників горомад Рівненської області)
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,58,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",31,Місцевий фінансовий орган: кроки створення та повноваження. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,71,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",31,Перші кроки: Формування проєкту місцевого бюджету на 2021 рік. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,51,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",31,Перші кроки новостворених ТГ. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,48,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",31,Перші кроки. Забезпечення виконання бюджетів до кінця бюджетного періоду та підговка проєкту бюджету на 2021.
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,79,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",31,"Перші кроки. Підготовка та проведення перших сесій місцевих рад після перших виборів для громад, які не зазнали змін, або чия конфігурація частково змінена (онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,54,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",31,Перші кроки. Формування штату та вирішення кадрових питань при проведенні реорганізації місцевих рад новоутворених громад. (Онлайн)
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,54,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",31,Перші кроки. Особливості реорганізації місцевих рад та дотримання трудових прав працівників у 2020 році для громад Закарпатської області- ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,41,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",30,Перші кроки територіальної громади - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,49,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",30,"Перші кроки. Забезпечення виконання місцевих бюджетів після перших виборів та підготовка проекту місцевого бюджету на 2021 рік для тих громад, які не зазнали змін, або чия конфігурація частково змінена (онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,40,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",30,"Перші кроки для новостворених громад: 
реорганізація рад та виконкомів, кадрові питання. Полтавська та Черкаська області - ОНЛАЙН
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,51,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",30,Особливості надання субвенції з державного бюджету місцевим бюджетам на створення фонду тимчасового житла для проживання ВПО. Онлайн
