Область,Тергромада,Програма,Тематика,Кількість
Донецька,Бахмутська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Вугледарська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Донецька,Великоновосілківська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,3
Донецька,Курахівська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Луганська,Сєвєродонецька,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,1
Луганська,Білокуракинська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання загального управлінського характеру,4
Луганська,Новоайдарська,Програма ООН із відновлення та розбудови миру (UN RPP),Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
