Область,Тергромада,Програма,Тематика,Кількість
Івано-Франківська,Тлумацька,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Пирятинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Сумська,Шалигинська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Сумська,Березівська,"Проєкт ""Підтримка децентралізації в Україні"" (DESPRO)",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
