Дата заповнення анкети,Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
15 січня 2021,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,4 квартал 2020,"Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,2600,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, представники органів державної влади",1093,"Консультативно-дорадча кампанія для голів та управлінців освітою новоутворених та реорганізованих територіальних громад ""Освіта в нових громадах від А до Я"""
15 січня 2021,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,1 квартал 2021,"Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,2600,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, представники органів державної влади",1093,"Консультативно-дорадча кампанія для голів та управлінців освітою новоутворених та реорганізованих територіальних громад ""Освіта в нових громадах від А до Я"""
